Week,Product,Qty
5/26/2023,X11_1,2696
5/19/2023,X11_1,2568
5/12/2023,X11_1,2
5/5/2023,X11_1,249
4/28/2023,X11_1,706
4/21/2023,X11_1,1567
4/14/2023,X11_1,1342
4/7/2023,X11_1,1013
3/31/2023,X11_1,8445
3/24/2023,X11_1,1421
3/17/2023,X11_1,3107
3/10/2023,X11_1,1279
3/3/2023,X11_1,1034
2/24/2023,X11_1,453
2/17/2023,X11_1,820
2/10/2023,X11_1,438
2/3/2023,X11_1,1746
1/27/2023,X11_1,608
1/20/2023,X11_1,766
1/13/2023,X11_1,1385
1/6/2023,X11_1,465
12/30/2022,X11_1,323
12/23/2022,X11_1,365
12/16/2022,X11_1,172
12/9/2022,X11_1,1696
12/2/2022,X11_1,642
11/25/2022,X11_1,242
11/18/2022,X11_1,298
11/11/2022,X11_1,2129
11/4/2022,X11_1,2148
10/28/2022,X11_1,474
10/21/2022,X11_1,1453
10/14/2022,X11_1,1044
10/7/2022,X11_1,226
9/30/2022,X11_1,1340
9/23/2022,X11_1,1188
9/16/2022,X11_1,1198
9/9/2022,X11_1,1358
9/2/2022,X11_1,3425
8/26/2022,X11_1,1445
8/19/2022,X11_1,1510
8/12/2022,X11_1,2298
8/5/2022,X11_1,633
7/29/2022,X11_1,2058
7/22/2022,X11_1,793
7/15/2022,X11_1,805
7/8/2022,X11_1,1012
7/1/2022,X11_1,1482
6/24/2022,X11_1,2289
6/17/2022,X11_1,935
6/10/2022,X11_1,4590
6/3/2022,X11_1,2057
5/27/2022,X11_1,2491
5/20/2022,X11_1,3474
5/13/2022,X11_1,1281
5/6/2022,X11_1,278
4/29/2022,X11_1,1360
4/22/2022,X11_1,1019
4/15/2022,X11_1,675
4/8/2022,X11_1,623
4/1/2022,X11_1,2090
3/25/2022,X11_1,1759
3/18/2022,X11_1,5225
3/11/2022,X11_1,612
3/4/2022,X11_1,1643
2/25/2022,X11_1,3503
2/18/2022,X11_1,987
2/11/2022,X11_1,2193
2/4/2022,X11_1,253
1/28/2022,X11_1,903
1/21/2022,X11_1,736
1/14/2022,X11_1,757
1/7/2022,X11_1,924
12/31/2021,X11_1,326
12/24/2021,X11_1,34
12/17/2021,X11_1,434
12/10/2021,X11_1,798
12/3/2021,X11_1,1078
11/26/2021,X11_1,202
11/19/2021,X11_1,2173
11/12/2021,X11_1,651
11/5/2021,X11_1,412
10/29/2021,X11_1,782
10/22/2021,X11_1,1408
10/15/2021,X11_1,161
10/8/2021,X11_1,1826
10/1/2021,X11_1,1799
9/24/2021,X11_1,2426
9/17/2021,X11_1,3163
9/10/2021,X11_1,3216
9/3/2021,X11_1,5124
8/27/2021,X11_1,224
8/20/2021,X11_1,360
8/13/2021,X11_1,1424
8/6/2021,X11_1,178
7/30/2021,X11_1,14
7/23/2021,X11_1,495
7/16/2021,X11_1,2215
7/9/2021,X11_1,636
7/2/2021,X11_1,4982
6/25/2021,X11_1,1595
6/18/2021,X11_1,820
6/11/2021,X11_1,2979
6/4/2021,X11_1,1291
5/28/2021,X11_1,7763
5/21/2021,X11_1,1416
5/14/2021,X11_1,960
5/7/2021,X11_1,4943
4/30/2021,X11_1,7374
4/23/2021,X11_1,545
4/16/2021,X11_1,1224
4/9/2021,X11_1,4834
4/2/2021,X11_1,3314
3/26/2021,X11_1,2905
3/19/2021,X11_1,2114
3/12/2021,X11_1,1761
3/5/2021,X11_1,2962
2/26/2021,X11_1,9103
2/19/2021,X11_1,130
2/12/2021,X11_1,3811
2/5/2021,X11_1,884
1/29/2021,X11_1,1740
1/22/2021,X11_1,1678
1/15/2021,X11_1,2078
1/8/2021,X11_1,43
1/1/2021,X11_1,215
12/25/2020,X11_1,1380
12/18/2020,X11_1,1125
12/11/2020,X11_1,1041
12/4/2020,X11_1,1526
11/27/2020,X11_1,1953
11/20/2020,X11_1,1512
11/13/2020,X11_1,130
11/6/2020,X11_1,1317
10/30/2020,X11_1,251
10/23/2020,X11_1,4945
10/16/2020,X11_1,7364
10/9/2020,X11_1,4252
10/2/2020,X11_1,2580
9/25/2020,X11_1,522
9/18/2020,X11_1,2155
9/11/2020,X11_1,2044
9/4/2020,X11_1,2793
8/28/2020,X11_1,233
8/21/2020,X11_1,832
8/14/2020,X11_1,405
8/7/2020,X11_1,5136
7/31/2020,X11_1,1423
7/24/2020,X11_1,920
7/17/2020,X11_1,693
7/10/2020,X11_1,1427
7/3/2020,X11_1,839
6/26/2020,X11_1,2240
6/19/2020,X11_1,2177
6/12/2020,X11_1,2856
6/5/2020,X11_1,2461
5/29/2020,X11_1,809
5/22/2020,X11_1,1306
5/15/2020,X11_1,418
5/8/2020,X11_1,3596
5/1/2020,X11_1,1407
4/24/2020,X11_1,1210
4/17/2020,X11_1,994
4/10/2020,X11_1,2405
4/3/2020,X11_1,1039
3/27/2020,X11_1,229
3/20/2020,X11_1,1673
3/13/2020,X11_1,806
3/6/2020,X11_1,2426
2/28/2020,X11_1,1217
2/21/2020,X11_1,317
2/14/2020,X11_1,831
2/7/2020,X11_1,1141
1/31/2020,X11_1,1837
1/24/2020,X11_1,834
1/17/2020,X11_1,1975
1/10/2020,X11_1,2361
1/3/2020,X11_1,972
12/27/2019,X11_1,1100
12/20/2019,X11_1,3192
12/13/2019,X11_1,618
12/6/2019,X11_1,2107
11/29/2019,X11_1,165
11/22/2019,X11_1,639
11/15/2019,X11_1,3045
11/8/2019,X11_1,1040
11/1/2019,X11_1,1454
10/25/2019,X11_1,2341
10/18/2019,X11_1,2370
10/11/2019,X11_1,938
10/4/2019,X11_1,303
9/27/2019,X11_1,324
9/20/2019,X11_1,607
9/13/2019,X11_1,1378
9/6/2019,X11_1,504
8/30/2019,X11_1,432
8/23/2019,X11_1,731
8/16/2019,X11_1,1
8/9/2019,X11_1,1011
8/2/2019,X11_1,150
7/26/2019,X11_1,678
7/19/2019,X11_1,295
7/12/2019,X11_1,1530
7/5/2019,X11_1,699
6/28/2019,X11_1,1900
6/21/2019,X11_1,262
6/14/2019,X11_1,1914
6/7/2019,X11_1,0
5/31/2019,X11_1,780
5/24/2019,X11_1,859
5/17/2019,X11_1,1933
5/10/2019,X11_1,109
5/3/2019,X11_1,2427
4/26/2019,X11_1,2014
4/19/2019,X11_1,625
4/12/2019,X11_1,2709
4/5/2019,X11_1,370
3/29/2019,X11_1,6385
3/22/2019,X11_1,2765
3/15/2019,X11_1,3212
3/8/2019,X11_1,575
3/1/2019,X11_1,1828
2/22/2019,X11_1,1856
2/15/2019,X11_1,1524
2/8/2019,X11_1,492
2/1/2019,X11_1,1484
1/25/2019,X11_1,495
1/18/2019,X11_1,1206
1/11/2019,X11_1,873
1/4/2019,X11_1,941
12/28/2018,X11_1,552
12/21/2018,X11_1,163
12/14/2018,X11_1,826
12/7/2018,X11_1,928
11/30/2018,X11_1,1140
11/23/2018,X11_1,611
11/16/2018,X11_1,1014
11/9/2018,X11_1,826
11/2/2018,X11_1,990
10/26/2018,X11_1,438
10/19/2018,X11_1,914
10/12/2018,X11_1,259
10/5/2018,X11_1,1029
9/28/2018,X11_1,725
9/21/2018,X11_1,3244
9/14/2018,X11_1,472
9/7/2018,X11_1,398
8/31/2018,X11_1,908
8/24/2018,X11_1,2255
8/17/2018,X11_1,2264
8/10/2018,X11_1,517
8/3/2018,X11_1,2572
7/27/2018,X11_1,1057
7/20/2018,X11_1,495
7/13/2018,X11_1,2302
7/6/2018,X11_1,3783
6/29/2018,X11_1,4952
6/22/2018,X11_1,124
6/15/2018,X11_1,964
6/8/2018,X11_1,2011
6/1/2018,X11_1,1102
5/25/2018,X11_1,4130
5/18/2018,X11_1,1723
5/11/2018,X11_1,1446
5/4/2018,X11_1,3454
4/27/2018,X11_1,446
4/20/2018,X11_1,240
4/13/2018,X11_1,3679
4/6/2018,X11_1,4884
3/30/2018,X11_1,2706
3/23/2018,X11_1,1034
3/16/2018,X11_1,228
3/9/2018,X11_1,1083
3/2/2018,X11_1,346
2/23/2018,X11_1,317
2/16/2018,X11_1,937
2/9/2018,X11_1,916
2/2/2018,X11_1,371
1/26/2018,X11_1,692
1/19/2018,X11_1,3373
1/12/2018,X11_1,6273
1/5/2018,X11_1,870
12/29/2017,X11_1,779
12/22/2017,X11_1,197
12/15/2017,X11_1,16
12/8/2017,X11_1,1865
12/1/2017,X11_1,3013
11/24/2017,X11_1,5043
11/17/2017,X11_1,178
11/10/2017,X11_1,20
11/3/2017,X11_1,818
10/27/2017,X11_1,679
10/20/2017,X11_1,129
10/13/2017,X11_1,62
10/6/2017,X11_1,571
9/29/2017,X11_1,156
9/22/2017,X11_1,2056
9/15/2017,X11_1,3829
9/8/2017,X11_1,1574
9/1/2017,X11_1,1330
8/25/2017,X11_1,965
8/18/2017,X11_1,662
8/11/2017,X11_1,420
8/4/2017,X11_1,558
7/28/2017,X11_1,2831
7/21/2017,X11_1,389
7/14/2017,X11_1,468
7/7/2017,X11_1,731
6/30/2017,X11_1,1012
6/23/2017,X11_1,620
6/16/2017,X11_1,2208
6/9/2017,X11_1,1918
6/2/2017,X11_1,227
5/26/2017,X11_1,721
5/19/2017,X11_1,2186
5/12/2017,X11_1,170
5/5/2017,X11_1,872
4/28/2017,X11_1,416
4/21/2017,X11_1,1559
4/14/2017,X11_1,867
4/7/2017,X11_1,1161
3/31/2017,X11_1,111
3/24/2017,X11_1,4770
3/17/2017,X11_1,1506
3/10/2017,X11_1,38
3/3/2017,X11_1,1167
2/24/2017,X11_1,4331
2/17/2017,X11_1,328
2/10/2017,X11_1,585
2/3/2017,X11_1,1732
1/27/2017,X11_1,570
1/20/2017,X11_1,1329
1/13/2017,X11_1,453
1/6/2017,X11_1,1263
12/30/2016,X11_1,815
12/23/2016,X11_1,438
12/16/2016,X11_1,889
12/9/2016,X11_1,798
12/2/2016,X11_1,697
11/25/2016,X11_1,148
11/18/2016,X11_1,414
11/11/2016,X11_1,4021
11/4/2016,X11_1,485
10/28/2016,X11_1,265
10/21/2016,X11_1,836
10/14/2016,X11_1,4242
10/7/2016,X11_1,328
9/30/2016,X11_1,2229
9/23/2016,X11_1,129
9/16/2016,X11_1,978
9/9/2016,X11_1,4
9/2/2016,X11_1,2016
8/26/2016,X11_1,1367
8/19/2016,X11_1,1039
8/12/2016,X11_1,750
8/5/2016,X11_1,177
7/29/2016,X11_1,3822
7/22/2016,X11_1,537
7/15/2016,X11_1,156
7/8/2016,X11_1,1522
7/1/2016,X11_1,850
6/24/2016,X11_1,181
6/17/2016,X11_1,291
6/10/2016,X11_1,1070
6/3/2016,X11_1,1573
5/27/2016,X11_1,190
5/20/2016,X11_1,4981
5/13/2016,X11_1,1011
5/6/2016,X11_1,1803
4/29/2016,X11_1,408
4/22/2016,X11_1,664
4/15/2016,X11_1,52
4/8/2016,X11_1,1113
4/1/2016,X11_1,1033
3/25/2016,X11_1,738
3/18/2016,X11_1,0
3/11/2016,X11_1,166
3/4/2016,X11_1,602
2/26/2016,X11_1,726
2/19/2016,X11_1,900
2/12/2016,X11_1,173
2/5/2016,X11_1,2924
1/29/2016,X11_1,92
1/22/2016,X11_1,360
1/15/2016,X11_1,332
1/8/2016,X11_1,1225
1/1/2016,X11_1,308
12/25/2015,X11_1,1332
12/18/2015,X11_1,64
12/11/2015,X11_1,384
12/4/2015,X11_1,411
11/27/2015,X11_1,0
11/20/2015,X11_1,18
11/13/2015,X11_1,1450
11/6/2015,X11_1,1000
10/30/2015,X11_1,88
10/23/2015,X11_1,2766
10/16/2015,X11_1,840
10/9/2015,X11_1,1093
10/2/2015,X11_1,162
9/25/2015,X11_1,799
9/18/2015,X11_1,1622
9/11/2015,X11_1,460
9/4/2015,X11_1,1247
8/28/2015,X11_1,750
8/21/2015,X11_1,268
8/14/2015,X11_1,1011
8/7/2015,X11_1,1480
7/31/2015,X11_1,220
7/24/2015,X11_1,1256
7/17/2015,X11_1,29
7/10/2015,X11_1,1221
7/3/2015,X11_1,1249
6/26/2015,X11_1,178
6/19/2015,X11_1,20
6/12/2015,X11_1,1223
6/5/2015,X11_1,117
5/29/2015,X11_1,1472
5/22/2015,X11_1,1054
5/15/2015,X11_1,901
5/8/2015,X11_1,587
5/1/2015,X11_1,922
4/24/2015,X11_1,1655
4/17/2015,X11_1,155
4/10/2015,X11_1,370
4/3/2015,X11_1,0
3/27/2015,X11_1,125
3/20/2015,X11_1,23
3/13/2015,X11_1,1267
3/6/2015,X11_1,340
2/27/2015,X11_1,13
2/20/2015,X11_1,1236
2/13/2015,X11_1,1225
2/6/2015,X11_1,302
1/30/2015,X11_1,1050
1/23/2015,X11_1,440
1/16/2015,X11_1,8
1/9/2015,X11_1,1250
1/2/2015,X11_1,0
12/26/2014,X11_1,0
12/19/2014,X11_1,0
12/12/2014,X11_1,0
12/5/2014,X11_1,0
